"show_id","type","title","director","cast","country","date_added_cleaned","release_year","rating","duration","listed_in","description"
"s5931","Movie","Mission Blue","Robert Nixon, Fisher Stevens","James Cameron, Michael deGruy, Sylvia Earle, Bryce Groark, Jeremy Jackson, Carl Safina","United States, Bermuda, Ecuador","2014-08-15",2014,"TV-PG","94 min","Documentaries","This documentary follows oceanographer Sylvia Earle's campaign to save the world's oceans from threats such as overfishing and toxic waste."
"s5932","Movie","The Battered Bastards of Baseball","Chapman Way, Maclain Way","Todd Field, Kurt Russell","United States","2014-07-11",2014,"TV-MA","80 min","Documentaries, Sports Movies","The colorful true story of the Portland Mavericks, a scrappy, independent baseball team of underdogs started by actor Bing Russell in the 1970s."
"s5933","Movie","From One Second to the Next","Werner Herzog","Unknown Cast","United States","2014-04-15",2013,"TV-14","35 min","Documentaries","Werner Herzog chronicles the devastating consequences of texting and driving. The film examines how lives can be forever altered by a trivial text."
"s5934","TV Show","The Borgias","Unknown Director","Jeremy Irons, François Arnaud, Holliday Grainger, Peter Sullivan, Sean Harris, Joanne Whalley, Lotte Verbeek, Colm Feore, Vernon Dobtcheff, David Oakes","United States, Hungary, Ireland, Canada","2014-02-01",2013,"TV-MA","3 Seasons","TV Dramas","Follow the lives of the notorious Borgia family, a clan headed by plotting patriarch Rodrigo and his beautiful but treacherous daughter, Lucrezia."
"s5935","Movie","Mitt","Greg Whiteley","Mitt Romney","United States","2014-01-24",2014,"TV-PG","93 min","Documentaries","The real Mitt Romney is revealed in this documentary that goes beyond the sound bites with unprecedented access to his 2012 presidential campaign."
"s5936","Movie","The Square","Jehane Noujaim","Ahmed Hassan, Khalid Abdalla, Magdy Ashour, Ramy Essam, Bothaina Kamel, Dina Abdullah, Aida Elkashef, Ragia Omran, Pierre Seyoufr, Dina Amer, Sherif Boray, Khaled Nagy, Salma Saied, Ahmed Saleh, Alaa Seif","United Kingdom, Egypt, United States","2014-01-17",2013,"TV-MA","105 min","Documentaries, International Movies","This Emmy-winning, street-level view of the 2011 Egyptian Revolution captures the astonishing uprising that led to the collapse of two governments."
"s5937","Movie","Shrek the Musical","Jason Moore","Brian d'Arcy James, Daniel Breaker, Sutton Foster, Christopher Sieber, John Tartaglia, Rozi Baker, Ryan Duncan, Leah Greenhaus, Chris Hoch, Marissa O'Donnell, Denny Paschall","United States","2013-12-29",2013,"TV-G","130 min","Children & Family Movies, Comedies, Music & Musicals","The greatest fairy tale never told comes to life in this colorful, song-filled, Tony Award-winning Broadway production based on the hit movie."
"s5938","Movie","The Short Game","Josh Greenbaum","Sky Sudberry, Allan Kournikova, Jed Dy, Zamokuhle Nxasana, Alexa Pano, Amari Avery, Augustin Valery, Kuang Yang, Jack Nicklaus, Gary Player","United States","2013-12-12",2013,"PG","100 min","Children & Family Movies, Documentaries, Sports Movies","They are fiercely competitive athletes, determined to become champions on one of the world's toughest golf courses. And they're still in grade school."
"s5939","Movie","Aziz Ansari: Buried Alive","Will Lovelace, Dylan Southern","Aziz Ansari","United States","2013-11-01",2013,"TV-MA","80 min","Stand-Up Comedy","""Parks and Recreation"" star Aziz Ansari takes the stage to share his unfiltered views on adulthood, babies, marriage, love and more in the modern era."
"s5940","TV Show","The 4400","Unknown Director","Joel Gretsch, Jacqueline McKenzie, Patrick John Flueger, Conchita Campbell, Chad Faust, Richard Kahan, Mahershala Ali, Billy Campbell","United States, United Kingdom","2013-09-01",2007,"TV-14","4 Seasons","TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy","4400 people who vanished over the course of five decades suddenly reappear. None have aged, and slowly it's revealed that they have mysterious powers."
