"country","total_contents","pct_total_contents"
"United States",2818,32.00
"India",972,11.04
"Unknown Country",831,9.44
"United Kingdom",419,4.76
"Japan",245,2.78
"South Korea",199,2.26
"Canada",181,2.06
"Spain",145,1.65
"France",124,1.41
"Mexico",110,1.25
"Egypt",106,1.20
"Turkey",105,1.19
"Nigeria",95,1.08
"Australia",87,0.99
"Taiwan",81,0.92
"Indonesia",79,0.90
"Brazil",77,0.87
"Philippines",75,0.85
"United Kingdom, United States",75,0.85
"United States, Canada",73,0.83
"Germany",67,0.76
"China",66,0.75
"Thailand",61,0.69
"Argentina",56,0.64
"Hong Kong",53,0.60
"United States, United Kingdom",47,0.53
"Italy",45,0.51
"Canada, United States",45,0.51
"Colombia",35,0.40
"South Africa",30,0.34
"France, Belgium",27,0.31
"Poland",24,0.27
"Singapore",23,0.26
"Malaysia",22,0.25
"Netherlands",19,0.22
"Pakistan",18,0.20
"United States, Germany",17,0.19
"United States, Japan",16,0.18
"Hong Kong, China",16,0.18
"United States, France",16,0.18
"Lebanon",15,0.17
"Russia",15,0.17
"China, Hong Kong",14,0.16
"United States, Mexico",14,0.16
"United Arab Emirates",14,0.16
"Chile",14,0.16
"Mexico, United States",13,0.15
"Germany, United States",13,0.15
"Sweden",13,0.15
"Denmark",13,0.15
"Australia, United States",13,0.15
"Israel",13,0.15
"New Zealand",12,0.14
"Japan, United States",12,0.14
"United States, Australia",11,0.12
"Norway",11,0.12
"Ireland",10,0.11
"France, United States",10,0.11
"India, United States",10,0.11
"United States, India",9,0.10
"Belgium",9,0.10
"Argentina, Spain",8,0.09
"Saudi Arabia",8,0.09
"United Kingdom, Canada, United States",8,0.09
"United States, China",8,0.09
"Vietnam",7,0.08
"United States, France, Japan",7,0.08
"Romania",6,0.07
"Kuwait",6,0.07
"United Kingdom, France",6,0.07
"South Korea, United States",6,0.07
"Iceland",5,0.06
"Israel, United States",5,0.06
"United States, New Zealand",5,0.06
"Austria",5,0.06
"Spain, France",5,0.06
"United States, Italy",5,0.06
"United States, Czech Republic",5,0.06
"Italy, France",5,0.06
"India, France",5,0.06
"Italy, United States",4,0.05
"Hong Kong, United States",4,0.05
"Hungary",4,0.05
"United Kingdom, Germany",4,0.05
"United Kingdom, France, United States",4,0.05
"Canada, United States, United Kingdom",4,0.05
"South Africa, United States",4,0.05
"United States, United Kingdom, France",4,0.05
"United Kingdom, United States, Spain, Germany, Greece, Canada",4,0.05
"Peru",4,0.05
"United States, Russia",4,0.05
"Mexico, Spain",4,0.05
"United Kingdom, Canada",4,0.05
"Poland, United States",4,0.05
"United States, Spain",4,0.05
"United States, Bulgaria",4,0.05
"United States, United Kingdom, Australia",4,0.05
"Kenya",3,0.03
"Denmark, United States",3,0.03
"France, Egypt",3,0.03
