"country","type","total_titles","pct_total_titles"
"United States","Movie",2058,23.37
"India","Movie",893,10.14
"United States","TV Show",760,8.63
"Unknown Country","Movie",440,5.00
"Unknown Country","TV Show",391,4.44
"United Kingdom","TV Show",213,2.42
"United Kingdom","Movie",206,2.34
"Japan","TV Show",169,1.92
"South Korea","TV Show",158,1.79
"Canada","Movie",122,1.39
"Spain","Movie",97,1.10
"Egypt","Movie",92,1.04
"Nigeria","Movie",86,0.98
"India","TV Show",79,0.90
"Indonesia","Movie",77,0.87
"Japan","Movie",76,0.86
"Turkey","Movie",76,0.86
"France","Movie",75,0.85
"Philippines","Movie",73,0.83
"Mexico","Movie",70,0.79
"Taiwan","TV Show",68,0.77
"United Kingdom, United States","Movie",63,0.72
"Canada","TV Show",59,0.67
"United States, Canada","Movie",51,0.58
"Hong Kong","Movie",50,0.57
"Brazil","Movie",50,0.57
"France","TV Show",49,0.56
"Australia","TV Show",48,0.55
"Spain","TV Show",48,0.55
"Germany","Movie",47,0.53
"South Korea","Movie",41,0.47
"Mexico","TV Show",40,0.45
"Australia","Movie",39,0.44
"United States, United Kingdom","Movie",38,0.43
"Argentina","Movie",38,0.43
"China","TV Show",38,0.43
"Thailand","Movie",37,0.42
"Italy","Movie",32,0.36
"Canada, United States","Movie",32,0.36
"Turkey","TV Show",29,0.33
"China","Movie",28,0.32
"Brazil","TV Show",27,0.31
"France, Belgium","Movie",24,0.27
"South Africa","Movie",24,0.27
"Thailand","TV Show",24,0.27
"United States, Canada","TV Show",22,0.25
"Colombia","TV Show",22,0.25
"Germany","TV Show",20,0.23
"Poland","Movie",18,0.20
"Argentina","TV Show",18,0.20
"Singapore","TV Show",17,0.19
"United States, Germany","Movie",17,0.19
"Malaysia","Movie",16,0.18
"Hong Kong, China","Movie",16,0.18
"Netherlands","Movie",15,0.17
"Egypt","TV Show",14,0.16
"Pakistan","Movie",14,0.16
"Russia","TV Show",14,0.16
"United States, France","Movie",14,0.16
"Italy","TV Show",13,0.15
"United Arab Emirates","Movie",13,0.15
"Colombia","Movie",13,0.15
"Canada, United States","TV Show",13,0.15
"China, Hong Kong","Movie",13,0.15
"Taiwan","Movie",13,0.15
"Germany, United States","Movie",12,0.14
"United Kingdom, United States","TV Show",12,0.14
"Chile","Movie",11,0.12
"United States, Mexico","Movie",11,0.12
"New Zealand","Movie",10,0.11
"Australia, United States","Movie",10,0.11
"United States, Japan","TV Show",10,0.11
"United States, Australia","Movie",10,0.11
"Nigeria","TV Show",9,0.10
"United States, United Kingdom","TV Show",9,0.10
"Japan, United States","Movie",9,0.10
"Lebanon","Movie",9,0.10
"India, United States","Movie",9,0.10
"Belgium","TV Show",8,0.09
"Denmark","TV Show",8,0.09
"Sweden","TV Show",8,0.09
"United States, China","Movie",8,0.09
"United States, India","Movie",8,0.09
"Israel","TV Show",8,0.09
"Vietnam","Movie",7,0.08
"Ireland","Movie",7,0.08
"Mexico, United States","Movie",7,0.08
"Argentina, Spain","Movie",7,0.08
"Norway","Movie",6,0.07
"Malaysia","TV Show",6,0.07
"France, United States","Movie",6,0.07
"Lebanon","TV Show",6,0.07
"United States, Japan","Movie",6,0.07
"United Kingdom, Canada, United States","Movie",6,0.07
"Singapore","Movie",6,0.07
"South Africa","TV Show",6,0.07
"Mexico, United States","TV Show",6,0.07
"Poland","TV Show",6,0.07
"Romania","Movie",6,0.07
"United States, France, Japan","TV Show",5,0.06
