"country","rating","total_titles","pct_total_titles"
"United States","TV-MA",928,10.54
"India","TV-14",550,6.25
"United States","R",440,5.00
"United States","TV-14",406,4.61
"United States","PG-13",289,3.28
"Unknown Country","TV-MA",276,3.13
"United States","TV-PG",251,2.85
"India","TV-MA",248,2.82
"Unknown Country","TV-14",230,2.61
"United Kingdom","TV-MA",177,2.01
"United States","PG",164,1.86
"India","TV-PG",134,1.52
"Spain","TV-MA",119,1.35
"United States","TV-Y7",101,1.15
"Unknown Country","TV-Y7",98,1.11
"Japan","TV-14",91,1.03
"Unknown Country","TV-PG",90,1.02
"United States","TV-Y",87,0.99
"Japan","TV-MA",87,0.99
"South Korea","TV-MA",85,0.97
"South Korea","TV-14",83,0.94
"United States","TV-G",82,0.93
"France","TV-MA",80,0.91
"Unknown Country","TV-Y",80,0.91
"Mexico","TV-MA",77,0.87
"United Kingdom","TV-PG",75,0.85
"Egypt","TV-14",72,0.82
"United Kingdom","TV-14",72,0.82
"Turkey","TV-MA",63,0.72
"Canada","TV-MA",61,0.69
"Brazil","TV-MA",50,0.57
"Nigeria","TV-14",43,0.49
"Germany","TV-MA",42,0.48
"Nigeria","TV-MA",41,0.47
"Thailand","TV-MA",40,0.45
"China","TV-14",40,0.45
"Taiwan","TV-14",39,0.44
"Argentina","TV-MA",39,0.44
"Japan","TV-PG",39,0.44
"Australia","TV-MA",36,0.41
"Indonesia","TV-14",35,0.40
"United States","NR",35,0.40
"Taiwan","TV-MA",34,0.39
"Philippines","TV-14",34,0.39
"United Kingdom","R",33,0.37
"Turkey","TV-14",31,0.35
"Unknown Country","TV-G",30,0.34
"Italy","TV-MA",30,0.34
"United States","G",29,0.33
"Egypt","TV-MA",29,0.33
"Philippines","TV-MA",28,0.32
"Colombia","TV-MA",26,0.30
"Canada","TV-14",26,0.30
"Hong Kong","TV-14",25,0.28
"United Kingdom","TV-G",23,0.26
"Canada","TV-PG",22,0.25
"United Kingdom, United States","R",22,0.25
"Poland","TV-MA",21,0.24
"France","TV-14",21,0.24
"Indonesia","TV-PG",20,0.23
"South Africa","TV-MA",20,0.23
"United Kingdom","TV-Y",19,0.22
"France, Belgium","TV-MA",19,0.22
"Hong Kong","TV-MA",18,0.20
"Canada, United States","TV-MA",17,0.19
"Japan","TV-Y7",17,0.19
"United Kingdom, United States","PG-13",17,0.19
"Canada","TV-Y",17,0.19
"United Kingdom, United States","TV-MA",16,0.18
"United States, Canada","TV-Y",16,0.18
"Thailand","TV-14",16,0.18
"South Korea","TV-PG",16,0.18
"Canada","R",16,0.18
"Singapore","TV-14",15,0.17
"China","TV-MA",15,0.17
"United States, United Kingdom","R",15,0.17
"Indonesia","TV-MA",14,0.16
"Canada","TV-G",14,0.16
"India","TV-Y7",14,0.16
"Australia","TV-PG",13,0.15
"Sweden","TV-MA",13,0.15
"United States, Canada","R",13,0.15
"Spain","TV-14",13,0.15
"Mexico","TV-14",13,0.15
"Germany","TV-14",12,0.14
"Pakistan","TV-14",11,0.12
"Unknown Country","R",11,0.12
"Australia","TV-14",11,0.12
"Brazil","TV-14",10,0.11
"United Arab Emirates","TV-14",10,0.11
"Chile","TV-MA",10,0.11
"France","TV-Y",10,0.11
"Netherlands","TV-MA",10,0.11
"Canada, United States","R",10,0.11
"Canada","TV-Y7",9,0.10
"Colombia","TV-14",9,0.10
"United States, Canada","PG",9,0.10
"United States, Canada","TV-Y7",9,0.10
"Nigeria","TV-PG",9,0.10
"India","TV-G",9,0.10
