"show_id","title","release_year","description"
"s688","Jagame Thandhiram",2021,"When a clever, carefree gangster is recruited to help an overseas crime lord take down a rival, he is caught off guard by the moral dilemmas that follow."
"s1167","The Irregulars",2021,"A crew of misfits investigates a series of supernatural crimes in Victorian London for Dr. Watson and his shadowy associate, Sherlock Holmes."
"s1089","Thunder Force",2021,"Two childhood best friends reunite as an unlikely crime-fighting superhero duo when one invents a formula that gives ordinary people superpowers."
"s870","Who Killed Sara?",2021,"Hell-bent on exacting revenge and proving he was framed for his sister's murder, Álex sets out to unearth much more than the crime's real culprit."
"s466","Heist",2021,"Millions in stolen cash. Missing luxury bourbon. Watch ordinary people almost get away with these extraordinary heists in this true crime series."
"s15","Crime Stories: India Detectives",2021,"Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations."
"s1329","Crime Scene: The Vanishing at the Cecil Hotel",2021,"The notorious Cecil Hotel grows in infamy when guest Elisa Lam vanishes. From the creator of ""The Ted Bundy Tapes,"" a dive into crime's darkest places."
"s223","Clickbait",2021,"When family man Nick Brewer is abducted in a crime with a sinister online twist, those closest to him race to uncover who is behind it and why."
"s491","Elize Matsunaga: Once Upon a Crime",2021,"The crime shocked Brazil: Elize Matsunaga shot and dismembered her rich husband. Featuring her first interview, this docuseries dives deep into the case."
"s890","The Woman in the Window",2021,"Confined to her home by agoraphobia, a psychologist becomes obsessed with her new neighbors — and solving a brutal crime she witnesses from her window."
"s11","Vendetta: Truth, Lies and The Mafia",2021,"Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?"
"s1096","This Is a Robbery: The World's Biggest Art Heist",2021,"In 1990, two men dressed as cops con their way into a Boston museum and steal a fortune in art. Take a deep dive into this daring and notorious crime."
"s465","Gunpowder Milkshake",2021,"When an assassin veers off mission to rescue a child, she triggers a war with a powerful crime syndicate — and reunites a gun-wielding sisterhood."
"s1417","Night Stalker: The Hunt for a Serial Killer",2021,"Beneath the sunlit glamour of 1985 LA lurks a relentlessly evil serial killer. In this true-crime story, two detectives won't rest until they catch him."
"s311","Cocaine Cowboys: The Kings of Miami",2021,"Two childhood friends go from high school dropouts to the most powerful drug kingpins in Miami in this true story of a crime saga that spanned decades."
"s256","Memories of a Murderer: The Nilsen Tapes",2021,"Serial killer Dennis Nilsen narrates his life and horrific crimes via a series of chilling audiotapes recorded from his jail cell."
"s1243","Murder Among the Mormons",2021,"High-stakes exploits turn deadly — and shake a global church to its core — in this extraordinary true crime story."
