"release_year","pct_movie","pct_tv_show"
2021,46.79,53.21
2020,54.25,45.75
2019,61.46,38.54
2018,66.87,33.13
2017,74.32,25.68
2016,72.95,27.05
2015,71.07,28.93
2014,75.00,25.00
2013,78.13,21.88
2012,73.00,27.00
2011,78.38,21.62
2010,79.38,20.62
2009,77.63,22.37
2008,83.09,16.91
2007,84.09,15.91
2006,85.42,14.58
2005,83.75,16.25
2004,85.94,14.06
2003,83.61,16.39
2002,86.27,13.73
2001,88.89,11.11
2000,89.19,10.81
1999,82.05,17.95
1998,88.89,11.11
1997,89.47,10.53
1996,87.50,12.50
1995,92.00,8.00
1994,90.91,9.09
1993,85.71,14.29
1992,86.96,13.04
1991,94.12,5.88
1990,86.36,13.64
1989,93.75,6.25
1988,88.89,11.11
1987,100.00,0.00
1986,84.62,15.38
1985,90.00,10.00
1984,100.00,0.00
1983,100.00,0.00
1982,100.00,0.00
1981,92.31,7.69
1980,100.00,0.00
1979,90.91,9.09
1978,100.00,0.00
1977,85.71,14.29
1976,100.00,0.00
1975,100.00,0.00
1974,85.71,14.29
1973,100.00,0.00
1972,80.00,20.00
1971,100.00,0.00
1970,100.00,0.00
1969,100.00,0.00
1968,100.00,0.00
1967,80.00,20.00
1966,100.00,0.00
1965,100.00,0.00
1964,100.00,0.00
1963,50.00,50.00
1962,100.00,0.00
1961,100.00,0.00
1960,100.00,0.00
1959,100.00,0.00
1958,100.00,0.00
1956,100.00,0.00
1955,100.00,0.00
1954,100.00,0.00
1947,100.00,0.00
1946,50.00,50.00
1945,75.00,25.00
1944,100.00,0.00
1943,100.00,0.00
1942,100.00,0.00
1925,0.00,100.00
